what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700434493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700434633
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700434789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700434945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700435117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700435289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700435445
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700435601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700435741
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700435881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700436006
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700436147
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700436271
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700436427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362700436583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362700444773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362700451403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700504443
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700506362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700507392
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362700507595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700507719
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362700507735
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362700517251
closed,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362700517282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700572444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700692892
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700701082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700702954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700734154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700735932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700747336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700747383
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1362700747461
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1362700753030
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1362700753139
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1362700753279
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.core",1362700753373
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700754465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700754696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700757861
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700771480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700792119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700851305
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362700856104
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700857352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362700859029
